column,n_features
0,65
1,65
10,65
11,65
12,65
13,65
14,65
15,65
16,65
17,65
18,65
19,65
2,65
20,65
21,65
22,65
23,65
3,65
4,65
5,65
6,65
7,65
8,65
9,65
ANDROID-COMMUNICATION,65
ANDROID-DATING,65
ANDROID-ENTERTAINMENT,65
ANDROID-GAME_ACTION,65
ANDROID-GAME_ARCADE,65
ANDROID-GAME_CARD,65
ANDROID-GAME_CASUAL,65
ANDROID-GAME_PUZZLE,65
ANDROID-GAME_RACING,65
ANDROID-GAME_SIMULATION,65
ANDROID-GAME_SPORTS,65
ANDROID-GAME_TRIVIA,65
ANDROID-GAME_WORD,65
ANDROID-HEALTH_AND_FITNESS,65
ANDROID-LIFESTYLE,65
ANDROID-MAPS_AND_NAVIGATION,65
ANDROID-MUSIC_AND_AUDIO,65
ANDROID-NEWS_AND_MAGAZINES,65
ANDROID-PERSONALIZATION,65
ANDROID-PHOTOGRAPHY,65
ANDROID-PRODUCTIVITY,65
ANDROID-SOCIAL,65
ANDROID-SPORTS,65
ANDROID-TOOLS,65
ANDROID-TRAVEL_AND_LOCAL,65
ANDROID-VIDEO_PLAYERS,65
ANDROID-WEATHER,65
CELLULAR,65
WIFI,65
brq,65
datepart_other,65
device_category_TABLET,65
distinctasn,65
distinctloc,65
gender_F,65
gender_M,65
home,65
num_days,65
rog_m,65
total_loc_brq,65
work,65
