column,n_features
0,73
1,73
10,73
11,73
12,73
13,73
14,73
15,73
16,73
17,73
18,73
19,73
2,73
20,73
21,73
22,73
23,73
3,73
4,73
5,73
6,73
7,73
8,73
9,73
ANDROID-BOOKS_AND_REFERENCE,73
ANDROID-COMMUNICATION,73
ANDROID-DATING,73
ANDROID-ENTERTAINMENT,73
ANDROID-GAME_ACTION,73
ANDROID-GAME_ADVENTURE,73
ANDROID-GAME_ARCADE,73
ANDROID-GAME_BOARD,73
ANDROID-GAME_CARD,73
ANDROID-GAME_CASINO,73
ANDROID-GAME_CASUAL,73
ANDROID-GAME_MUSIC,73
ANDROID-GAME_PUZZLE,73
ANDROID-GAME_RACING,73
ANDROID-GAME_ROLE_PLAYING,73
ANDROID-GAME_SIMULATION,73
ANDROID-GAME_SPORTS,73
ANDROID-GAME_STRATEGY,73
ANDROID-GAME_TRIVIA,73
ANDROID-GAME_WORD,73
ANDROID-HEALTH_AND_FITNESS,73
ANDROID-LIFESTYLE,73
ANDROID-MAPS_AND_NAVIGATION,73
ANDROID-MUSIC_AND_AUDIO,73
ANDROID-NEWS_AND_MAGAZINES,73
ANDROID-PERSONALIZATION,73
ANDROID-PHOTOGRAPHY,73
ANDROID-PRODUCTIVITY,73
ANDROID-SOCIAL,73
ANDROID-SPORTS,73
ANDROID-TOOLS,73
ANDROID-TRAVEL_AND_LOCAL,73
ANDROID-VIDEO_PLAYERS,73
ANDROID-WEATHER,73
CELLULAR,73
WIFI,73
brq,73
datepart_other,73
device_category_SMART PHONE,73
device_category_TABLET,73
distinctasn,73
distinctloc,73
gender_F,73
gender_M,73
home,73
num_days,73
rog_m,73
total_loc_brq,73
work,73
