column,n_features
0,81
1,81
10,81
11,81
12,81
13,81
14,81
15,81
16,81
17,81
18,81
19,81
2,81
20,81
21,81
22,81
23,81
3,81
4,81
5,81
6,81
7,81
8,81
9,81
ANDROID-BEAUTY,81
ANDROID-BOOKS_AND_REFERENCE,81
ANDROID-COMMUNICATION,81
ANDROID-DATING,81
ANDROID-EDUCATION,81
ANDROID-ENTERTAINMENT,81
ANDROID-FINANCE,81
ANDROID-GAME_ACTION,81
ANDROID-GAME_ADVENTURE,81
ANDROID-GAME_ARCADE,81
ANDROID-GAME_BOARD,81
ANDROID-GAME_CARD,81
ANDROID-GAME_CASINO,81
ANDROID-GAME_CASUAL,81
ANDROID-GAME_EDUCATIONAL,81
ANDROID-GAME_MUSIC,81
ANDROID-GAME_PUZZLE,81
ANDROID-GAME_RACING,81
ANDROID-GAME_ROLE_PLAYING,81
ANDROID-GAME_SIMULATION,81
ANDROID-GAME_SPORTS,81
ANDROID-GAME_STRATEGY,81
ANDROID-GAME_TRIVIA,81
ANDROID-GAME_WORD,81
ANDROID-HEALTH_AND_FITNESS,81
ANDROID-HOUSE_AND_HOME,81
ANDROID-LIFESTYLE,81
ANDROID-MAPS_AND_NAVIGATION,81
ANDROID-MEDICAL,81
ANDROID-MUSIC_AND_AUDIO,81
ANDROID-NEWS_AND_MAGAZINES,81
ANDROID-PERSONALIZATION,81
ANDROID-PHOTOGRAPHY,81
ANDROID-PRODUCTIVITY,81
ANDROID-SHOPPING,81
ANDROID-SOCIAL,81
ANDROID-SPORTS,81
ANDROID-TOOLS,81
ANDROID-TRAVEL_AND_LOCAL,81
ANDROID-VIDEO_PLAYERS,81
ANDROID-WEATHER,81
CELLULAR,81
WIFI,81
brq,81
datepart_other,81
device_category_SMART PHONE,81
device_category_TABLET,81
distinctasn,81
distinctloc,81
gender_F,81
gender_M,81
gender_O,81
home,81
num_days,81
rog_m,81
total_loc_brq,81
work,81
